DATE,pair_trading,t_strategy,combined
2018-08-01,2.832707657574532,0.050590007902697826,2.890327805786233
2018-08-02,2.8127772681598042,0.05106645755826569,2.8708738660270723
2018-08-03,2.820656141952618,0.049913602001271096,2.8775998842628923
2018-08-06,2.776376703676214,0.04988838252603495,2.8332952265112494
2018-08-07,2.7451374103782045,0.04989006102888838,2.8020576117160947
2018-08-08,2.639672008428176,0.04979237857755331,2.69649452731473
2018-08-09,2.567059657451817,0.054907730151196016,2.62901545481832
2018-08-10,2.550133625873659,0.05553967297050072,2.6127213660594686
2018-08-13,2.5137147480953193,0.057217982275476365,2.5779807975861067
2018-08-14,2.411566569607663,0.056576777958774055,2.475191414781743
2018-08-15,2.290284243880677,0.057234988796761144,2.354570911793961
2018-08-16,2.3560426517095774,0.055484192822515266,2.4185821306642588
2018-08-17,2.3275694473690764,0.05345627624993235,2.388084629496893
2018-08-20,2.2657444909367825,0.05443916242852709,2.3272461932942514
2018-08-21,2.378991972384857,0.05488768310798747,2.4409421954217834
2018-08-22,2.4508328080137085,0.0567016728107233,2.514597020753368
2018-08-23,2.381375740749311,0.060351593803900844,2.448789874482148
2018-08-24,2.3461376476993747,0.05807990786862552,2.41128009549694
2018-08-27,2.3142791566509686,0.05916150744263576,2.3805032040225447
2018-08-28,2.1403048845355936,0.06042951748652767,2.2077969419510635
2018-08-29,2.2930908600917146,0.06284770052716276,2.3630011005478186
2018-08-30,2.3094184312922916,0.06628135268437216,2.3827623239056086
2018-08-31,2.267596676386713,0.06872132242853438,2.34338414104966
2018-09-03,2.2552378290533097,0.06892896290919825,2.331232934196926
2018-09-04,2.400167078378547,0.0696921435063293,2.4769253641192925
2018-09-05,2.3924942663611377,0.06972942038286281,2.4692898289784173
2018-09-06,2.2033183826366924,0.07079501591956902,2.281179540790677
2018-09-07,2.3414200281916653,0.07357282934891193,2.4220589997749924
2018-09-10,2.585457306139637,0.07299179442318943,2.66551524279724
2018-09-11,2.5972954235168677,0.07367837066535568,2.678039936416637
2018-09-12,2.6710762318274632,0.07150392296200203,2.7496462970238773
2018-09-13,2.668969188348667,0.07324448376251089,2.7492798143455928
2018-09-14,2.5961058319308856,0.07339718210373228,2.676569156269035
2018-09-17,2.6095896866567774,0.07379683496288769,2.6904526638540807
2018-09-18,2.6903071286761158,0.07147642568697199,2.7688496965975062
2018-09-19,2.797414859692493,0.0681000279701573,2.8725810298970655
2018-09-20,2.7164553639510576,0.06901319263390321,2.792534698819377
2018-09-21,2.706234163110941,0.06841290119809518,2.781713206543452
2018-09-24,2.7572062029068123,0.0696042540302021,2.83387659917143
2018-09-25,2.746621459133598,0.07001730840260234,2.823704909770616
2018-09-26,2.744016538721908,0.0686836566121567,2.8197663375684803
2018-09-27,2.8011184107234035,0.06683453617593843,2.8750190891337577
2018-09-28,2.8973904619058617,0.06399273675801848,2.968449340898297
2018-10-01,2.9316695672090125,0.06337461983453818,3.002110329277966
2018-10-02,2.9859104601948525,0.06474216021828647,3.0577187626475553
2018-10-03,2.9306961036805,0.06704734113116492,3.0048095870460805
2018-10-04,2.9174773779519088,0.07034950607897647,2.9948930262653017
2018-10-05,2.8587963571067814,0.07248823333111018,2.9383507326723066
2018-10-08,2.927404471440651,0.07051399422239041,3.004984607897456
2018-10-09,2.901369571855766,0.06887559385918376,2.977311307949366
